versenum,osis,apoc
1027,'Gen.35.15',0
1028,'Gen.35.16',0
1029,'Gen.35.17',0
1030,'Gen.35.18',0
1031,'Gen.35.19',0
1032,'Gen.35.20',0
1033,'Gen.35.21',0
1034,'Gen.35.22',0
1035,'Gen.35.23',0
1036,'Gen.35.24',0
1037,'Gen.35.25',0
1038,'Gen.35.26',0
1039,'Gen.35.27',0
1040,'Gen.35.28',0
1041,'Gen.35.29',0
1042,'Gen.36.1',0
1043,'Gen.36.2',0
1044,'Gen.36.3',0
1045,'Gen.36.4',0
1046,'Gen.36.5',0
1047,'Gen.36.6',0
1048,'Gen.36.7',0
1049,'Gen.36.8',0
1050,'Gen.36.9',0
1051,'Gen.36.10',0
1052,'Gen.36.11',0
1053,'Gen.36.12',0
1054,'Gen.36.13',0
1055,'Gen.36.14',0
1056,'Gen.36.15',0
1057,'Gen.36.16',0
1058,'Gen.36.17',0
1059,'Gen.36.18',0
1060,'Gen.36.19',0
1061,'Gen.36.20',0
1062,'Gen.36.21',0
1063,'Gen.36.22',0
1064,'Gen.36.23',0
1065,'Gen.36.24',0
1066,'Gen.36.25',0
1067,'Gen.36.26',0
